# Generated by scripts/refresh-vocabulary-manifest.py from the authorities below; do not edit.
# authority	/vault/Data/.refresh-20260903/UD-Tools/10ce40cf8a577714e51cf56b443dd4c2c6d55f91/data/deprels.json	sha256=5024444e9e8e7d40f83e5dfc90ea0e040a7a085a4f88feacba1cc8234a2124a1
code	subtype
1	a
2	about
3	abs
4	acc
5	adj
6	adv
7	advcl
8	advers
9	advmod
10	advneg
11	aff
12	affix
13	agent
14	agr
15	alt
16	amod
17	ana
18	appl
19	appos
20	apr
21	arg
22	aspect
23	asubj
24	atov
25	att
26	attlvc
27	attr
28	aux
29	av
30	bahuv
31	benef
32	bfoc
33	bv
34	cau
35	caus
36	ccomp
37	cl
38	cleft
39	clf
40	clitic
41	cmp
42	cmpr
43	cnd
44	cntf
45	comp
46	compar
47	concess
48	cond
49	conj
50	conn
51	consec
52	cont
53	contrast
54	conv
55	coord
56	cop
57	coverb
58	crel
59	cs
60	csubj
61	dat
62	date
63	deg
64	deletion
65	depict
66	der
67	desc
68	desid
69	det
70	df
71	dg
72	dir
73	discourse
74	dislocated
75	dist
76	dpct
77	ds
78	dv
79	emo
80	emph
81	entity
82	enunc
83	ex
84	exhort
85	expl
86	ext
87	extend
88	filler
89	fin
90	final
91	fixed
92	flat
93	float
94	foreign
95	frac
96	fut
97	gen
98	goal
99	gobj
100	goeswith
101	gov
102	grad
103	gsubj
104	hab
105	hashtag
106	idiom
107	ifoc
108	imp
109	impers
110	inf
111	infl
112	infx
113	insert
114	inst
115	instr
116	instrument
117	int
118	intj
119	iobj
120	kd
121	lcl
122	lfoc
123	lmod
124	lo
125	loc
126	locat
127	locy
128	lvc
129	manner
130	mark
131	mention
132	missing
133	mod
134	mode
135	na
136	name
137	nc
138	neg
139	newsent
140	nisba
141	nmlz
142	nmod
143	nn
144	noun
145	npmod
146	nsubj
147	nsubjobj
148	nsubjobl
149	num
150	number
151	numgov
152	nummod
153	obj
154	objective
155	objobl
156	obl
157	opt
158	orphan
159	outer
160	own
161	parenth
162	part
163	participant
164	pass
165	path
166	patient
167	pcomp
168	perf
169	periph
170	plur
171	pmod
172	po
173	pos
174	poss
175	pot
176	pre
177	preconj
178	pred
179	predet
180	prep
181	preverb
182	pron
183	pronmod
184	prp
185	prt
186	ptcp
187	purp
188	pv
189	q
190	quant
191	que
192	quote
193	quoter
194	range
195	redup
196	reform
197	rel
198	relat
199	relcl
200	rep
201	reparandum
202	repeat
203	reported
204	reporting
205	res
206	restart
207	result
208	ro
209	rt
210	sentcon
211	sentence
212	seq
213	shared
214	sibl
215	sim
216	situation
217	smixut
218	smod
219	soc
220	source
221	sp
222	speaker
223	spec
224	speech
225	ss
226	sub
227	subj
228	svc
229	tag
230	tcl
231	tense
232	tfrom
233	time
234	title
235	tlocy
236	tmod
237	to
238	tonp
239	topic
240	tp
241	trans
242	tto
243	unmarked
244	url
245	vcomp
246	verb
247	verbnoun
248	vmod
249	vo
250	voc
251	vsc
252	vsubj
253	vv
254	with
255	xsubj
256	z
