# Generated by scripts/refresh-vocabulary-manifest.py from the authorities below; do not edit.
# authority	/vault/Data/.refresh-20260903/UD-Tools/10ce40cf8a577714e51cf56b443dd4c2c6d55f91/data/feats.json	sha256=44d997b1fd6130a21b0859d0b47c22f0e8e3677975581a5cc71fe828e2101d68
code	feature
1	AC
2	Abbr
3	Abbreviation
4	Accomp
5	AdjType
6	AdpType
7	AdvType
8	Advlz
9	Agglutination
10	Also
11	Analyt
12	Animacy
13	Animacy[gram]
14	Animacy[iobj]
15	Animacy[obj]
16	Animacy[psor]
17	Aspect
18	Aspect[add]
19	Assoc
20	Away
21	Back
22	Backgrounding
23	BadStyle
24	Case
25	Case[dsauf]
26	Case[sauf]
27	Case[stack]
28	Case[stackb]
29	Caus
30	Cfm
31	Ch
32	Clas
33	Class
34	CleftType
35	Clitic
36	Clusivity
37	Clusivity[obj]
38	Clusivity[p]
39	Clusivity[psor]
40	Clusivity[subj]
41	Coming
42	Compound
43	Comt
44	Conces
45	ConjType
46	Conjug
47	Connegative
48	Contrast
49	Contv
50	ConvType
51	Corf
52	Cq
53	Decl
54	Definite
55	Definitizer
56	Degree
57	Deixis
58	DeixisRef
59	Deixis[psor]
60	Delib
61	Deo
62	Derivation
63	Determ
64	Detrans
65	Dev
66	Dialect
67	Dist
68	Down
69	Dyn
70	Echo
71	Emph
72	Emphatic
73	Encl
74	Epenthesis
75	Ergative
76	Evident
77	Excl
78	ExtPos
79	Fact
80	False
81	Foc
82	Focus
83	FocusType
84	Foreign
85	Form
86	Fragment
87	Gender
88	Gender[abs]
89	Gender[cs]
90	Gender[dat]
91	Gender[erg]
92	Gender[io]
93	Gender[lo]
94	Gender[obj]
95	Gender[po]
96	Gender[pred]
97	Gender[prep]
98	Gender[psor]
99	Gender[refl]
100	Gender[ro]
101	Gender[subj]
102	Gnc
103	HebBinyan
104	HebExistential
105	Hnfc
106	Hort
107	Htp
108	Hum
109	Human
110	Hyph
111	Impersonal
112	Imprs
113	Incorp
114	InfForm
115	InfStruct
116	InflClass
117	InflClass[nominal]
118	Int
119	Intens
120	Intense
121	Intension
122	Irr
123	LangId
124	Language
125	Link
126	LongForm
127	MaParticle
128	Middle
129	Mir
130	Modal
131	Modality
132	Mood
133	Morph
134	Movement
135	Mutation
136	NCount
137	NameType
138	NegationType
139	Neutral
140	Nisba
141	Nmzr
142	Nom
143	Nominal
144	Nomzr
145	NonFoc
146	NounBase
147	NounClass
148	NounClass[iobj]
149	NounClass[obj]
150	NounClass[psed]
151	NounClass[psor]
152	NounType
153	NumForm
154	NumType
155	NumValue
156	Number
157	Number[abs]
158	Number[cs]
159	Number[dat]
160	Number[dsauf]
161	Number[erg]
162	Number[grnd]
163	Number[io]
164	Number[iobj]
165	Number[lo]
166	Number[obj]
167	Number[p]
168	Number[po]
169	Number[pred]
170	Number[prep]
171	Number[psed]
172	Number[psor]
173	Number[refl]
174	Number[ro]
175	Number[sauf]
176	Number[subj]
177	OC
178	Obl
179	Orth
180	Out
181	PartForm
182	PartType
183	PartTypeQpm
184	PastType
185	Pcl
186	Person
187	Person[abs]
188	Person[cs]
189	Person[dat]
190	Person[erg]
191	Person[grnd]
192	Person[io]
193	Person[iobj]
194	Person[lo]
195	Person[obj]
196	Person[p]
197	Person[po]
198	Person[pred]
199	Person[prep]
200	Person[psed]
201	Person[psor]
202	Person[refl]
203	Person[ro]
204	Person[subj]
205	Polarity
206	Polite
207	Polite[abs]
208	Polite[dat]
209	Polite[erg]
210	Position
211	Poss
212	Possessed
213	Pred
214	Prefix
215	PrepCase
216	PrepForm
217	Priv
218	PronClass
219	PronType
220	Proper
221	Prp
222	Pun
223	PunctSide
224	PunctType
225	Purp
226	Purpose
227	RcpType
228	Reach
229	Recip
230	Red
231	Redup
232	Referent
233	Reflex
234	Reflex[iobj]
235	Reflex[obj]
236	Reflex[subj]
237	Rel
238	RelType
239	Reln
240	Rep
241	Report
242	Restr
243	SecV
244	Singulative
245	Sp
246	Speech
247	St
248	StatPrep
249	State
250	Strength
251	Style
252	SubForm
253	SubGender
254	SubSuff
255	Subcat
256	Subord
257	Subordinative
258	Tense
259	TenseEvid
260	TokenType
261	Top
262	Trans
263	Transc
264	Tv
265	Typo
266	Uninflect
267	Up
268	Valency
269	Variant
270	Ventive
271	VerbClass
272	VerbForm
273	VerbStem
274	VerbType
275	Voice
276	Voice[add]
