# Generated by scripts/refresh-vocabulary-manifest.py from the authorities below; do not edit.
# authority	/vault/Data/.refresh-20260903/UD-Tools/10ce40cf8a577714e51cf56b443dd4c2c6d55f91/data/feats.json	sha256=44d997b1fd6130a21b0859d0b47c22f0e8e3677975581a5cc71fe828e2101d68
code	feature	value
1	AC	Yes
2	Abbr	Yes
3	Abbreviation	Yes
4	Accomp	Yes
5	AdjType	Attr
6	AdjType	Pred
7	AdpType	Ambi
8	AdpType	Circ
9	AdpType	Comadp
10	AdpType	Comprep
11	AdpType	Post
12	AdpType	Pre
13	AdpType	Prep
14	AdpType	Voc
15	AdvType	Cau
16	AdvType	Con
17	AdvType	Deg
18	AdvType	Dir
19	AdvType	Ext
20	AdvType	Ideoph
21	AdvType	Ins
22	AdvType	Int
23	AdvType	Loc
24	AdvType	Man
25	AdvType	Mod
26	AdvType	Pur
27	AdvType	Qua
28	AdvType	Rel
29	AdvType	Sta
30	AdvType	Temp
31	AdvType	Tim
32	Advlz	Yes
33	Agglutination	Agl
34	Agglutination	Nagl
35	Also	Yes
36	Analyt	Yes
37	Animacy	Anim
38	Animacy	Hum
39	Animacy	Inan
40	Animacy	Nhum
41	Animacy[gram]	Anim
42	Animacy[gram]	Inan
43	Animacy[iobj]	Hum
44	Animacy[iobj]	Nhum
45	Animacy[obj]	Hum
46	Animacy[obj]	Nhum
47	Animacy[psor]	Hum
48	Aspect	Aor
49	Aspect	Compl
50	Aspect	ComplImp
51	Aspect	ComplPerf
52	Aspect	ComplPerfv
53	Aspect	Cons
54	Aspect	Cont
55	Aspect	Dec
56	Aspect	Dur
57	Aspect	DurIprf
58	Aspect	Freq
59	Aspect	Frus
60	Aspect	Hab
61	Aspect	Imp
62	Aspect	Inc
63	Aspect	IncProg
64	Aspect	Inch
65	Aspect	Iter
66	Aspect	Lus
67	Aspect	Perf
68	Aspect	Perfv
69	Aspect	Pers
70	Aspect	Pfv
71	Aspect	Prior
72	Aspect	Prog
73	Aspect	Prosp
74	Aspect	Punct
75	Aspect	Rapid
76	Aspect	Stat
77	Aspect	Suc
78	Aspect[add]	Hab
79	Assoc	Yes
80	Away	Yes
81	Back	Yes
82	Backgrounding	Fem
83	Backgrounding	Masc
84	BadStyle	Yes
85	Case	Abe
86	Case	Abl
87	Case	Abs
88	Case	AbsErg
89	Case	Acc
90	Case	Add
91	Case	Ade
92	Case	Adp
93	Case	Aff
94	Case	All
95	Case	Apr
96	Case	AprEgr
97	Case	AprEla
98	Case	AprIll
99	Case	AprIne
100	Case	AprPrl
101	Case	AprTer
102	Case	AprTra
103	Case	Apu
104	Case	Ben
105	Case	Cau
106	Case	Cmp
107	Case	Cns
108	Case	Com
109	Case	Con
110	Case	Dat
111	Case	DatErg
112	Case	Del
113	Case	Dis
114	Case	Disp
115	Case	Egr
116	Case	Ela
117	Case	Equ
118	Case	Erg
119	Case	ErgTop
120	Case	Ess
121	Case	Gen
122	Case	GenAbl
123	Case	GenTop
124	Case	Ill
125	Case	Inb
126	Case	Ine
127	Case	Ins
128	Case	Lat
129	Case	Loc
130	Case	LocCom
131	Case	LocErg
132	Case	LocLoc
133	Case	LocLocErg
134	Case	LocLocPer
135	Case	LocPer
136	Case	LocPerErg
137	Case	LocTop
138	Case	Mal
139	Case	Nom
140	Case	Npiv
141	Case	Par
142	Case	Per
143	Case	PerErg
144	Case	Piv
145	Case	Prl
146	Case	Prp
147	Case	Ref
148	Case	Sbl
149	Case	Sim
150	Case	Sub
151	Case	Sup
152	Case	Tem
153	Case	Ter
154	Case	Top
155	Case	Tra
156	Case	Voc
157	Case[dsauf]	Nom
158	Case[sauf]	Dat
159	Case[sauf]	Erg
160	Case[sauf]	Ess
161	Case[sauf]	Gen
162	Case[sauf]	Ins
163	Case[sauf]	Nom
164	Case[sauf]	Voc
165	Case[stack]	Gen
166	Case[stackb]	Gen
167	Caus	Yes
168	Cfm	Morning
169	Ch	Yes
170	Clas	Bds
171	Clas	Bss
172	Clas	Ccv
173	Clas	Cylb
174	Clas	Cylm
175	Clas	Cyls
176	Clas	Fem
177	Clas	Flat
178	Clas	Rd
179	Clas	Tflat
180	Clas	X
181	Class	Adorn
182	Class	CilFlx
183	Class	CilRig
184	Class	DA
185	Class	Food
186	Class	Liquid
187	Class	Neckl
188	Class	Round
189	Class	Seed
190	CleftType	Adj
191	CleftType	Adv
192	CleftType	Nom
193	CleftType	Obl
194	CleftType	Verb
195	Clitic	A
196	Clitic	Add
197	Clitic	AddGA
198	Clitic	AddI
199	Clitic	AddKige
200	Clitic	AddNgA
201	Clitic	AddVok
202	Clitic	Gi
203	Clitic	Go
204	Clitic	Han
205	Clitic	I
206	Clitic	Ik
207	Clitic	Ka
208	Clitic	Kaan
209	Clitic	Ki
210	Clitic	Kin
211	Clitic	Ko
212	Clitic	No
