# Generated by scripts/refresh-vocabulary-manifest.py from the authorities below; do not edit.
# authority	/vault/Data/Wordnet/WordNet-3.0/doc/man/wndb.5	sha256=4cfa6a3c38faa95d0c5d587fd17366b2d6fea79f81b2ecb8fc6422a5678faa17
# authority	/vault/Data/FrameNet/framenet_v17/schema/commonTypes.xsd	sha256=5d8c9079665c4608a3a82170acb4ba15e26e6538c3d36145d3b381f0a69f4a20
# authority	/vault/Data/PropBank/propbank-frames-main/dtds/v3.4/frameset.dtd	sha256=066ca7fb1653d34d9c11c068775399494d02103fb2b3512257fa3d1876318ab7
# authority	/home/ahart/.local/lib/python3.10/site-packages/wiktextract/parts_of_speech.py	sha256=300ac1cfcd6419eee69cb190af667d1a2ac79d83eb45370390df8738275c1774
tagset	code	upos
wordnet	a	ADJ
wordnet	n	NOUN
wordnet	r	ADV
wordnet	s	ADJ
wordnet	v	VERB
framenet	A	ADJ
framenet	ADV	ADV
framenet	ART	DET
framenet	AVP	
framenet	C	
framenet	CCON	CCONJ
framenet	IDIO	
framenet	INTJ	INTJ
framenet	N	NOUN
framenet	NUM	NUM
framenet	PREP	ADP
framenet	PRON	PRON
framenet	SCON	SCONJ
framenet	V	VERB
propbank	r	ADV
propbank	p	ADP
propbank	v	VERB
propbank	n	NOUN
propbank	j	ADJ
propbank	l	
propbank	x	
propbank	m	
propbank	d	
propbank	f	
wiktionary	abbrev	
wiktionary	adj	ADJ
wiktionary	adj_noun	
wiktionary	adj_verb	
wiktionary	adv	ADV
wiktionary	adv_phrase	
wiktionary	affix	
wiktionary	ambiposition	ADP
wiktionary	article	DET
wiktionary	character	
wiktionary	circumfix	
wiktionary	circumpos	ADP
wiktionary	classifier	
wiktionary	clause	
wiktionary	combining_form	
wiktionary	conj	
wiktionary	converb	
wiktionary	counter	
wiktionary	det	DET
wiktionary	infix	
wiktionary	interfix	
wiktionary	intj	INTJ
wiktionary	name	PROPN
wiktionary	noun	NOUN
wiktionary	num	NUM
wiktionary	particle	PART
wiktionary	phrase	
wiktionary	postp	ADP
wiktionary	prefix	
wiktionary	prep	ADP
wiktionary	prep_phrase	
wiktionary	preverb	
wiktionary	pron	PRON
wiktionary	proverb	
wiktionary	punct	PUNCT
wiktionary	romanization	
wiktionary	root	
wiktionary	suffix	
wiktionary	syllable	
wiktionary	symbol	SYM
wiktionary	verb	VERB
